title,like,neutral,unlike,add,status,Member_Rating,Reviews,Popularity,percent
Tarisland,0,0,0,8,Very Positive,0,0,14,83
Overwatch 2,8,1,1,507,Very Positive,10,3,1,89
PUBG: BATTLEGROUNDS,34,4,9,1650,Positive,47,5,6,79
Enlisted,24,0,1,923,Massively Positive,25,2,21,96
Genshin Impact,127,10,15,2969,Very Positive,152,21,1,89
Fall Guys,26,2,8,1366,Positive,36,2,4,76
Neverwinter,24,8,2,421,Massively Positive,34,5,0,92
Lost Ark,8,0,2,186,Positive,10,1,27,80
Diablo Immortal,3,1,0,213,Massively Positive,4,0,5,10
Phantasy Star Online 2 New Genesis,12,0,5,322,Positive,17,2,17,71
Crossout,10,3,7,712,Positive,20,5,6,59
World of Warships,23,2,4,618,Very Positive,29,6,8,85
War Thunder,22,5,3,309,Very Positive,30,5,22,88
World of Tanks,19,4,4,401,Very Positive,27,5,1,83
XDefiant,2,0,0,22,Massively Positive,2,2,7,10
Palia,1,1,0,88,Massively Positive,2,0,18,10
Halo Infinite,14,0,0,237,Massively Positive,14,1,16,10
Star Trek Online,9,6,3,246,Positive,18,2,15,75
Tower of Fantasy,3,0,0,171,Massively Positive,3,0,23,10
Noah’s Heart,4,0,1,197,Positive,5,1,17,80
Valorant,54,6,9,1671,Very Positive,69,15,1,86
Phantasy Star Online 2,22,5,3,400,Very Positive,30,6,4,88
Call Of Duty: Warzone,61,11,7,2281,Very Positive,79,8,2,90
Destiny 2,26,3,3,377,Very Positive,32,2,16,90
Dauntless,22,4,3,325,Very Positive,29,1,8,88
Apex Legends,30,3,2,544,Massively Positive,35,6,0,94
Fortnite,39,8,21,896,Positive,68,7,19,65
Albion Online,16,5,5,462,Positive,26,2,18,76
Blade and Soul,11,3,0,205,Massively Positive,14,6,17,10
Brawlhalla,9,4,1,171,Very Positive,14,0,14,90
Trove,31,5,2,465,Massively Positive,38,13,4,94
Smite,6,0,1,93,Very Positive,7,0,9,86
Warframe,19,3,1,174,Massively Positive,23,6,38,95
Guild Wars 2,18,2,1,294,Massively Positive,21,5,86,95
RuneScape,8,1,0,221,Massively Positive,9,2,18,10
Screenplay CCG,0,0,0,3,Very Positive,0,0,48,83
Predecessor,0,1,0,11,Very Positive,1,0,14,83
Project Apidom,0,0,0,11,Very Positive,0,0,28,83
Ravendawn,0,0,0,8,Very Positive,0,0,64,83
